Cycle,FEC_ID,Cand_ID,Name,Party,District,Dist_curr,Curr_Cand,Cycle_cand,CRPICO,Receip_cd,No_pacs
2018, H8NM01398 , N00041373 , Michael Hendricks (R) , R , NM01 ,      ,   , Y , O , RN ,   
2018, H8NM02131 , N00041374 , David Baake (D) , D , NM02 ,      ,   , Y , O , DN ,   
2018, H8NV03101 , N00041375 , Richard Hart (D) , D , NV03 ,      ,   , Y , O , DL ,   
2018, H8AL02189 , N00041475 , Tommy Amason (R) , R , AL02 ,      ,   , Y , C , RL ,   
2018, H8AR02142 , N00041476 , Gwendolynn Millen Combs (D) , D , AR02 ,      ,   , Y , C , DL ,   
2018, H8AZ02151 , N00029260 , Ann Kirkpatrick (D) , D , AZ02 ,      , Y , Y , O , DW ,   
2018, H8TX16117 , N00041703 , John Rene Carrillo (D) , D , TX16 ,      ,   , Y , O , DL ,   
2018, H8CA45189 , N00041482 , Brian Forde (D) , D , CA45 ,      ,   , Y , C , DL ,   
2018, H8CA48100 , N00041483 , Michael Kotick (D) , D , CA48 ,      ,   , Y , C , DN ,   
2018, H8CA52110 , N00037021 , James Veltmeyer (R) , R , CA52 ,      ,   , Y , C , RL ,   
2018, H8CA52128 , N00041485 , Alexander Miller (D) , D , CA53 ,      ,   , Y , C , DN ,   
2018, H8CO01097 , N00041486 , John Field (R) , R , CO01 ,      ,   , Y , C , RN ,   
2018, H8DC27013 , N00041487 , Matthew W Haggman (D) , D , DC00 ,      ,   , Y , C , DN ,   
2018, H8FL07070 , N00041488 , Scott Sturgill (R) , R , FL07 ,      ,   , Y , C , RL ,   
2018, H8FL14183 , N00041489 , Jermaine Evans (R) , R , FL14 ,      ,   , Y , C , RN ,   
2018, H8FL17020 , N00041490 , Bill Pollard (D) , D , FL17 ,      ,   , Y , O , DL ,   
2018, H8FL19075 , N00041491 , Todd James Truax (D) , D , FL19 ,      ,   , Y , C , DL ,   
2018, H8FL27060 , N00041492 , David Richardson (D) , D , FL27 ,      ,   , Y , O , DL ,   
2018, H8FL27078 , N00041493 , Raquel Regalado (R) , R , FL27 ,      ,   , Y , O , RN ,   
2018, H8FL27086 , N00041494 , Mary Barzee Flores (D) , D , FL25 ,      , Y , Y , C , DL ,   
2018, H8GA07177 , N00041495 , Ethan Pham (D) , D , GA07 ,      ,   , Y , C , DL ,   
2018, H8GA12052 , N00041496 , Trent Nesmith (D) , D , GA12 ,      ,   , Y , C , DL ,   
2018, H8GA12060 , N00041497 , Mary West (I) , I , GA12 ,      ,   , Y , C , 3N ,   
2018, H8IL06154 , N00041498 , Becky Anderson Wilkins (D) , D , IL06 ,      ,   , Y , C , DL ,   
2018, H8IL13168 , N00041499 , Erik Jones (D) , D , IL13 ,      ,   , Y , C , DL ,   
2018, H8IL15072 , N00041500 , Kevin Gaither (D) , D , IL15 ,      , Y , Y , C , DL ,   
2018, H8IN02151 , N00041501 , Mark John Summe (R) , R , IN02 ,      ,   , Y , C , RL ,   
2018, H8IN07291 , N00041502 , Tony Van Pelt (R) , R , IN07 ,      ,   , Y , C , RL ,   
2018, H8IN09107 , N00041503 , Liz Watson (D) , D , IN09 ,      , Y , Y , C , DL ,   
2018, H8KS03122 , N00041504 , Brent Welder (D) , D , KS03 ,      ,   , Y , C , DL ,   
2018, H8KY06164 , N00041505 , Amy McGrath (D) , D , KY06 ,      , Y , Y , C , DL ,   
2018, H8MD01185 , N00041506 , Mike Pullen (D) , D , MD01 ,      ,   , Y , C , DL ,   
2018, H8MD07075 , N00041507 , John Moser (D) , D , MD07 ,      ,   , Y , C , DL ,   
2018, H8ME02151 , N00041508 , Jonathan Fulford (D) , D , ME02 ,      ,   , Y , C , DN ,   
2018, H8MI06155 , N00041509 , Matt Longjohn (D) , D , MI06 ,      , Y , Y , C , DL ,   
2018, H8MI11262 , N00041510 , Fayrouz Saad (D) , D , MI11 ,      ,   , Y , O , DL ,   
2018, H8MN08043 , N00041511 , Pete Stauber (R) , R , MN08 ,      , Y , Y , O , RW ,   
2018, H8MO02216 , N00041512 , Mark Osmack (D) , D , MO02 ,      ,   , Y , C , DL ,   
2018, H8MO07181 , N00041513 , Vince Jennings (D) , D , MO07 ,      ,   , Y , C , DL ,   
2018, H8MO07199 , N00041514 , John Farmer De La Torre (D) , D , MO07 ,      ,   , Y , C , DL ,   
2018, H8NC04082 , N00041515 , Lee Brian (R) , R , NC04 ,      ,   , Y , C , RN ,   
2018, H8NC12101 , N00041516 , Paul Bonham (R) , R , NC12 ,      ,   , Y , C , RL ,   
2018, H8NE03087 , N00041517 , Kirk Penner (R) , R , NE03 ,      ,   , Y , C , RL ,   
2018, H8NJ02141 , N00041518 , Tanzie Youngblood (D) , D , NJ02 ,      ,   , Y , O , DL ,   
2018, H8NM01414 , N00041519 , Annie Chavez (D) , D , NM01 ,      ,   , Y , O , DN ,   
2018, H8NM01422 , N00041520 , John Walter Flores (D) , D , NM01 ,      ,   , Y , O , DN ,   
2018, H8NM02164 , N00041521 , Adolf Zubia (D) , D , NM02 ,      ,   , Y , O , DN ,   
2018, H8NV03168 , N00041522 , Michael Weiss (D) , D , NV03 ,      ,   , Y , O , DL ,   
2018, H8NY01163 , N00041523 , David Pechefsky (D) , D , NY01 ,      ,   , Y , C , DL ,   
2018, H8NY03151 , N00041524 , Dan Debono (R) , R , NY03 ,      , Y , Y , C , RL ,   
2018, H8NY21278 , N00041525 , Russ Finley (R) , R , NY21 ,      ,   , Y , C , RN ,   
2018, H8NY27127 , N00041526 , Erin Cole (D) , D , NY27 ,      ,   , Y , C , DN ,   
2018, H8OR02138 , N00041527 , Ross Wordhouse (D) , D , OR02 ,      ,   , Y , C , DN ,   
2018, H8OR05198 , N00041528 , Mark Callahan (R) , R , OR05 ,      , Y , Y , C , RL ,   
2018, H8PA12093 , N00041529 , John Stolz (D) , D , PA17 ,      ,   , Y , C , DN ,   
2018, H8PA18173 , N00041530 , Michael J Crossey (D) , D , PA14 ,      ,   , Y , O , DL ,   
2018, H8TN06086 , N00041531 , Judd Matheny (R) , R , TN06 ,      ,   , Y , O , RL ,   
2018, H8TX06217 , N00041532 , Levii Shocklee (D) , D , TX06 ,      ,   , Y , O , DL ,   
2018, H8TX09120 , N00041533 , Christian Hernandez (D) , D , TX09 ,      ,   , Y , C , DN ,   
2018, H8TX14138 , N00041534 , Levy Barnes Jr. (D) , D , TX14 ,      ,   , Y , C , DL ,   
2018, H8TX19111 , N00041535 , Miguel Levario (D) , D , TX19 ,      , Y , Y , C , DL ,   
2018, H8TX22222 , N00041536 , Stephanie Williams (3) , 3 , TX22 ,      , Y , Y , C , 3L ,   
2018, H8TX33013 , N00041537 , Kurt Schwab (R) , R , TX33 ,      ,   , Y , C , RN ,   
2018, H8VA10155 , N00035503 , Shak Hill (R) , R , VA10 ,      ,   , Y , C , RL ,   
2018, H8WA05185 , N00041539 , Eric Agnew (I) , I , WA05 ,      ,   , Y , C , 3N ,   
2018, H8WV03071 , N00041540 , Ayne Amjad (R) , R , WV03 ,      ,   , Y , O , RL ,   
2018, H8WV03089 , N00041541 , Steve Williams (D) , D , WV03 ,      ,   , Y , O , DN ,   
2018, H8WV03097 , N00041542 , Carol Miller (R) , R , WV03 ,      , Y , Y , O , RW ,   
2018, P00006122 , N00041543 , James Gray Mr. Mason (3) , 3 , PRES ,      ,   ,   ,   , 3N ,   
2018, P00006130 , N00041544 , Warren Lee (D) , D , PRES ,      ,   ,   ,   , DN ,   
2018, P00006148 , N00041545 , Robert Washington Mr Jr Cooper (I) , I , PRES ,      ,   ,   ,   , 3N ,   
2018, P00006155 , N00041546 , Brandon Cekander (I) , I , PRES ,      ,   ,   ,   , 3N ,   
2018, S0NC00277 , N00041547 , Eva F Lee (D) , D , NCS1 ,      ,   ,   ,   , DN ,   
2018, S8MA00318 , N00041548 , John Kingston (R) , R , MAS1 ,      ,   , Y , C , RL ,   
2018, S8MD00245 , N00041549 , Rikki Vaughn (D) , D , MDS1 ,      ,   , Y , C , DL ,   
2018, S8MI00372 , N00041550 , John James (R) , R , MIS2 ,      , Y , Y , C , RL ,   
2018, S8PA00312 , N00041551 , Ray Uhric (D) , D , PAS2 ,      ,   , Y , C , DN ,   
2018, S8UT00143 , N00041552 , Jenny Wilson (D) , D , UTS1 ,      , Y , Y , O , DL ,   
2018, S8VT00125 , N00041553 , Jasdeep Pannu (R) , R , VTS1 ,      ,   , Y , C , RL ,   
2018, S8VT00133 , N00041554 , Jon Svitavsky (D) , D , VTS1 ,      ,   , Y , C , DN ,   
2018, S8WV00143 , N00012642 , Patrick Morrisey (R) , R , WVS1 ,      , Y , Y , C , RL ,   
2018, H8NY23191 , N00041689 , James Brian Clasby (I) , I , NY23 ,      ,   , Y , C , 3N ,   
2018, H8OH16124 , N00041690 , Anthony Gonzalez (R) , R , OH16 ,      , Y , Y , O , RW ,   
2018, H8OR02146 , N00041691 , Tim White (D) , D , OR02 ,      ,   , Y , C , DL ,   
2018, H8PA15179 , N00041692 , Justin Simmons (R) , R , PA07 ,      ,   , Y , O , RN ,   
2018, H8SC02106 , N00041693 , Sean Carrigan (D) , D , SC02 ,      , Y , Y , C , DL ,   
2018, H8SC07030 , N00041694 , Johnny Allen Ray (R) , R , SC07 ,      ,   , Y , C , RN ,   
2018, H8SC07048 , N00041695 , Bruce Fischer (D) , D , SC07 ,      ,   , Y , C , DL ,   
2018, H8TN01079 , N00041696 , Martin Olsen (D) , D , TN01 ,      , Y , Y , C , DL ,   
2018, H8TN01087 , N00041697 , Todd McKinley (R) , R , TN01 ,      ,   , Y , C , RL ,   
2018, H8TN02168 , N00041698 , Vito Sagliano (R) , R , TN02 ,      ,   , Y , O , RL ,   
2018, H8TN02176 , N00041699 , Renee Hoyos (D) , D , TN02 ,      , Y , Y , O , DL ,   
2018, H8TX03123 , N00027709 , Van Taylor (R) , R , TX03 ,      , Y , Y , O , RW ,   
2018, H8TX14146 , N00041701 , Lawrence Michael Tylka (D) , D , TX14 ,      ,   , Y , C , DN ,   
2018, H8TX16109 , N00041702 , Veronica Escobar (D) , D , TX16 ,      , Y , Y , O , DW ,   
2018, H8MI02121 , N00041578 , Nick Schiller (D) , D , MI02 ,      ,   , Y , C , DN ,   
2018, H8MN01295 , N00041579 , Joe Sullivan (D) , D , MN01 ,      ,   , Y , O , DN ,   
2018, H8MO02224 , N00013232 , Bill Haas (D) , D , MO02 ,      ,   , Y , C , DL ,   
2018, H8MT00101 , N00041581 , John Heenan (D) , D , MT01 ,      ,   , Y , C , DL ,   
2018, H8NC04090 , N00041582 , Steve Loor (R) , R , NC04 ,      , Y , Y , C , RL ,   
2018, H8NJ02158 , N00041583 , Sean Thom (D) , D , NJ02 ,      ,   , Y , O , DN ,   
2018, H8NJ11175 , N00041584 , Tamara Harris (D) , D , NJ11 ,      ,   , Y , O , DL ,   
2018, H8NV03176 , N00041585 , Lynda Tache (R) , R , NV03 ,      ,   , Y , O , RN ,   
2018, H8NV03184 , N00041586 , Victoria Seaman (R) , R , NV03 ,      ,   , Y , O , RN ,   
2018, H8NY01171 , N00041587 , Brendon Henry (D) , D , NY01 ,      ,   , Y , C , DN ,   
2018, H8NY11113 , N00041588 , Max Rose (D) , D , NY11 ,      , Y , Y , C , DW ,   
2018, H8NY21286 , N00041589 , Don Boyajian (D) , D , NY21 ,      ,   , Y , C , DL ,   
2018, H8OH15134 , N00041590 , Rick Neal (D) , D , OH15 ,      , Y , Y , C , DL ,   
2018, H8OH16116 , N00041591 , Tom Patton (R) , R , OH16 ,      ,   , Y , O , RN ,   
2018, H8PA11061 , N00041592 , Stephen Bloom (R) , R , PA13 ,      ,   , Y , O , RL ,   
2018, H8SC01124 , N00041593 , Katherine Arrington (R) , R , SC01 ,      , Y , Y , O , RL ,   
2018, H8TN02119 , N00041594 , Tim Burchett (R) , R , TN02 ,      , Y , Y , O , RW ,   
2018, H8TN02127 , N00041595 , Jimmy Matlock (R) , R , TN02 ,      ,   , Y , O , RL ,   
2018, H8TN02135 , N00041596 , Brad Fullington (R) , R , TN02 ,      ,   , Y , O , RN ,   
2018, H8TN02143 , N00041597 , Ken Gross (R) , R , TN02 ,      ,   , Y , O , RN ,   
2018, H8TN02150 , N00041597 , Ken Gross (R) , R , TN02 ,      ,   ,   , O , RN ,   
2018, H8TN06094 , N00041599 , John Rose (R) , R , TN06 ,      , Y , Y , O , RW ,   
2018, H8TX10094 , N00041600 , Richie Degrow (D) , D , TX10 ,      ,   , Y , C , DL ,   
2018, H8TX16091 , N00041601 , Enrique Garcia (D) , D , TX16 ,      ,   , Y , O , DL ,   
2018, H8TX23113 , N00041602 , Alma Arredondo-Lynch (R) , R , TX23 ,      ,   , Y , C , RL ,   
2018, H8TX23121 , N00041603 , Gina Jones (D) , D , TX23 ,      , Y , Y , C , DL ,   
2018, H8TX32130 , N00041604 , David Dean Henry (D) , D , TX32 ,      ,   , Y , C , DN ,   
2018, H8UT03352 , N00030092 , Joe Buchman (L) , L , UT03 ,      ,   , Y , O , 3L ,   
2018, H8WA08189 , N00041606 , Kim Schrier (D) , D , WA08 ,      , Y , Y , O , DW ,   
2018, P00006163 , N00041607 , Jacob Johnston (R) , R , PRES ,      ,   ,   ,   , RN ,   
2018, P00006171 , N00041608 , Tirell Alexander Maxwell Rev. Dr. I Clifton (D) , D , PRES ,      ,   ,   ,   , DN ,   
2018, P00006189 , N00041609 , Clifford Allen Englerth (3) , 3 , PRES ,      ,   ,   ,   , 3N ,   
2018, P00006197 , N00041610 , John Iii Washington (D) , D , PRES ,      ,   ,   ,   , DN ,   
2018, P00006205 , N00041611 , Robert W Jr Mr Cooper (I) , I , PRES ,      ,   ,   ,   , 3N ,   
2018, P00006213 , N00033897 , John K Delaney (D) , D , MD06 ,      ,   ,   , I , DI ,   
2018, P00006221 , N00041613 , Janelle Marie Nowell (D) , D , PRES ,      ,   ,   ,   , DN ,   
2018, P00006239 , N00041614 , David Oswald Griffith (R) , R , PRES ,      ,   ,   ,   , RN ,   
2018, P20005401 , N00041615 , Napoleon Antwan Drinkard (3) , 3 , PRES ,      ,   ,   ,   , 3N ,   
2018, S8AZ00155 , N00041616 , Jim Moss (D) , D , AZS2 ,      ,   , Y , O , DN ,   
2018, S8AZ00163 , N00041617 , Nicholas Tutora (R) , R , AZS2 ,      ,   , Y , O , RN ,   
2018, S8IN00163 , N00012546 , Luke Messer (R) , R , INS1 , IN06 ,   , Y , C , RL ,   
2018, S8MO00152 , N00041619 , Japheth Campbell (L) , L , MOS2 ,      , Y , Y , C , 3L ,   
2018, S8MO00160 , N00041620 , Josh Hawley (R) , R , MOS2 ,      , Y , Y , C , RW ,   
2018, S8UT00150 , N00041621 , Mitchell Vice (D) , D , UTS1 ,      ,   , Y , O , DL ,   
2018, S8WI00208 , N00041622 , Mary Jo Walters (D) , D , WIS1 ,      ,   , Y , C , DN ,   
2018, S8WI00216 , N00041623 , Kevin Nicholson (R) , R , WIS1 ,      ,   , Y , C , RL ,   
2018, S4MI00298 , N00004098 , Bob Carr (R) , R , MIS2 ,      ,   , Y , C , RN ,   
2018, S4NJ00169 , N00000775 , Rich Pezzullo (R) , R , NJ06 ,      ,   ,   , C , RL ,   
2018, H0GA09022 , N00030787 , Mike Evans (R) , R , GA09 ,      ,   ,   ,   , RN ,   
2018, H2KS03125 , N00024845 , William E Grassie (R) , R , KS03 ,      ,   ,   ,   , RN ,   
2018, P60009909 , N00037643 , Alonzo Tablet Martin Sr®, R,PRES,,      ,   ,   ,RN,
2018, H6OK02258 , N00039822 , John McCarthy (R) , R , OK02 ,      ,   , Y , C , RL ,   
2018, S0VT00106 , N00031294 , Daniel Freilich (D) , D , VT01 ,      ,   ,   , C , DL ,   
2018, H8AZ09032 , N00041749 , Seth Leibsohn (R) , R , AZ09 ,      ,   , Y , O , RN ,   
2018, H8AZ09040 , N00041750 , Greg Stanton (D) , D , AZ09 ,      , Y , Y , O , DW ,   
2018, H8AZ09057 , N00041751 , Scott Menor (I) , I , AZ09 ,      ,   , Y , O , 3N ,   
2018, H8CA04228 , N00041753 , Richard Martin (D) , D , CA04 ,      ,   , Y , C , DN ,   
2018, H8CA07072 , N00041754 , Yona Barash (R) , R , CA07 ,      ,   , Y , C , RL ,   
2018, H8CA08112 , N00041755 , Marge Doyle (D) , D , CA08 ,      ,   , Y , C , DL ,   
2018, H8CA08120 , N00039380 , Tim Donnelly (R) , R , CA08 ,      ,   ,   , C , RL ,   
2018, H8CA17097 , N00041757 , Khanh Tran (D) , D , CA17 ,      ,   , Y , C , DL ,   
2018, H8CA23111 , N00041758 , Kurt Wilson (D) , D , CA23 ,      ,   , Y , C , DL ,   
2018, H8CA25108 , N00041759 , Diedra Greenaway (D) , D , CA25 ,      ,   , Y , C , DN ,   
2018, H8CA26130 , N00041760 , John Nelson (D) , D , CA26 ,      ,   , Y , C , DL ,   
2018, H8CA36162 , N00041761 , Dan Ball (R) , R , CA36 ,      ,   , Y , C , RL ,   
2018, H8CA36170 , N00041762 , Kimberlin Brown Pelzer (R) , R , CA36 ,      , Y , Y , C , RL ,   
2018, H8CA36188 , N00039755 , Steven Wolkowicz (R) , R , CA36 ,      ,   , Y , C , RL ,   
2018, H8CA39208 , N00041764 , Ted Rusk (D) , D , CA39 ,      ,   , Y , O , DN ,   
2018, H8CA43143 , N00041765 , Frank Demartini (R) , R , CA43 ,      ,   , Y , C , RL ,   
2018, H8CA48118 , N00041766 , Kevin Thomas Kensinger (I) , I , CA48 ,      ,   , Y , C , 3L ,   
2018, H8CA50148 , N00041767 , Shamus Sayed (R) , R , CA50 ,      ,   , Y , C , RL ,   
2018, H8CA52136 , N00041768 , Michael Allman (R) , R , CA52 ,      ,   , Y , C , RL ,   
2018, H8CA53068 , N00041769 , Bryan Kim (I) , I , CA53 ,      ,   , Y , C , 3L ,   
2018, H8CO02202 , N00041770 , Mark Williams (D) , D , CO02 ,      ,   , Y , O , DL ,   
2018, H8CO02210 , N00041771 , Todd Mitchem (L) , L , CO02 ,      ,   , Y , O , 3N ,   
2018, H8CO02228 , N00041772 , Kristopher Larsen (D) , D , CO02 ,      ,   , Y , O , DN ,   
2018, H8CO03200 , N00041773 , Chris Kennedy (D) , D , CO03 ,      ,   , Y , C , DN ,   
2018, H8CO04117 , N00041774 , Jim Gunning (R) , R , CO04 ,      ,   , Y , C , RN ,   
2018, H8CO05155 , N00041775 , Bill Rhea (R) , R , CO05 ,      ,   , Y , C , RL ,   
2018, H8CO06252 , N00041776 , Erik Stanger (D) , D , CO06 ,      ,   , Y , C , DN ,   
2018, H8CT03067 , N00041777 , Bryan Neil Anderson (D) , D , CT03 ,      ,   , Y , C , DN ,   
2018, H8FL03038 , N00041778 , Yvonne Hayes Hinson (D) , D , FL03 ,      , Y , Y , C , DL ,   
2018, H8FL05132 , N00041779 , Rontel Batie (D) , D , FL05 ,      ,   , Y , C , DN ,   
2018, H8FL06114 , N00041780 , Jeremy J Kelly (R) , R , FL06 ,      ,   , Y , O , RN ,   
