Name,ideology,Amt
 Thom Tillis (R) ,Comms,38500
 Tim Kaine (D) ,Comms,129500
 Tim Scott (R) ,Comms,11000
 Tina Smith (D) ,Comms,31500
 Todd Young (R) ,Comms,19000
 Tom Carper (D) ,Comms,67000
 Tom Cotton (R) ,Comms,38180
 Tom Udall (D) ,Comms,16000
 Amy Klobuchar (D) ,Defense,2000
 Angus King (I) ,Defense,84000
 Ben Cardin (D) ,Defense,66950
 Ben Sasse (R) ,Defense,10500
 Bernie Sanders (I) ,Defense,0
 Bill Cassidy (R) ,Defense,4500
 Bill Nelson (D) ,Defense,98500
 Bob Casey (D) ,Defense,47500
 Bob Corker (R) ,Defense,32125
 Brian Schatz (D) ,Defense,22500
 Catherine Cortez Masto (D) ,Defense,0
 Charles E Schumer (D) ,Defense,0
 Chris Coons (D) ,Defense,2000
 Chris Van Hollen (D) ,Defense,1000
 Christopher S Murphy (D) ,Defense,51000
 Chuck Grassley (R) ,Defense,0
 Cindy Hyde-Smith (R) ,Defense,31500
 Claire McCaskill (D) ,Defense,54000
 Cory Booker (D) ,Defense,0
 Cory Gardner (R) ,Defense,4000
 Dan Sullivan (R) ,Defense,47000
 David Perdue (R) ,Defense,32900
 Dean Heller (R) ,Defense,10500
 Deb Fischer (R) ,Defense,67000
 Debbie Stabenow (D) ,Defense,33000
 Dianne Feinstein (D) ,Defense,57500
 Dick Durbin (D) ,Defense,21000
 Doug Jones (D) ,Defense,9500
 Ed Markey (D) ,Defense,0
 Elizabeth Warren (D) ,Defense,1280
 Gary Peters (D) ,Defense,14000
 Heidi Heitkamp (D) ,Defense,34000
 Jack Reed (D) ,Defense,47000
 James E Risch (R) ,Defense,0
 James Lankford (R) ,Defense,11000
 James M Inhofe (R) ,Defense,60500
 Jeanne Shaheen (D) ,Defense,71500
 Jeff Flake (R) ,Defense,19000
 Jeff Merkley (D) ,Defense,0
 Jerry Moran (R) ,Defense,20500
 Joe Donnelly (D) ,Defense,92000
 Joe Manchin (D) ,Defense,99000
 John A Barrasso (R) ,Defense,47000
 John Boozman (R) ,Defense,16500
 John Cornyn (R) ,Defense,10000
 John Hoeven (R) ,Defense,15000
 John Kennedy (R) ,Defense,6500
 John Thune (R) ,Defense,4000
 Johnny Isakson (R) ,Defense,10000
 Jon Tester (D) ,Defense,436822
 Joni Ernst (R) ,Defense,24000
 Kamala D Harris (D) ,Defense,0
 Kirsten Gillibrand (D) ,Defense,21500
 Lamar Alexander (R) ,Defense,8000
 Lindsey Graham (R) ,Defense,44000
 Lisa Murkowski (R) ,Defense,18000
 Maggie Hassan (D) ,Defense,4000
 Marco Rubio (R) ,Defense,35500
 Maria Cantwell (D) ,Defense,1000
 Mark Warner (D) ,Defense,33000
 Martin Heinrich (D) ,Defense,118000
 Mazie K Hirono (D) ,Defense,53500
 Michael F Bennet (D) ,Defense,6000
 Mike Crapo (R) ,Defense,7000
 Mike Enzi (R) ,Defense,5000
 Mike Lee (R) ,Defense,1000
 Mike Rounds (R) ,Defense,11500
 Mitch McConnell (R) ,Defense,38000
 Orrin G Hatch (R) ,Defense,19625
 Pat Roberts (R) ,Defense,0
 Pat Toomey (R) ,Defense,9500
 Patrick Leahy (D) ,Defense,7000
 Patty Murray (D) ,Defense,0
 Rand Paul (R) ,Defense,0
 Richard Blumenthal (D) ,Defense,4500
 Richard Burr (R) ,Defense,4000
 Richard C Shelby (R) ,Defense,5000
 Rob Portman (R) ,Defense,11500
 Robert Menendez (D) ,Defense,22000
 Roger Wicker (R) ,Defense,116625
 Ron Johnson (R) ,Defense,3000
 Ron Wyden (D) ,Defense,1000
 Sheldon Whitehouse (D) ,Defense,12500
 Shelley Moore Capito (R) ,Defense,18500
 Sherrod Brown (D) ,Defense,28390
 Steven Daines (R) ,Defense,22000
 Susan Collins (R) ,Defense,16000
 Tammy Baldwin (D) ,Defense,30500
 Tammy Duckworth (D) ,Defense,6000
 Ted Cruz (R) ,Defense,35000
 Thom Tillis (R) ,Defense,25500
 Tim Kaine (D) ,Defense,145188
 Tim Scott (R) ,Defense,19500
 Tina Smith (D) ,Defense,13500
 Todd Young (R) ,Defense,1000
 Tom Carper (D) ,Defense,22000
 Tom Cotton (R) ,Defense,15500
 Tom Udall (D) ,Defense,0
 Amy Klobuchar (D) ,Energy,55250
 Angus King (I) ,Energy,70033
 Ben Cardin (D) ,Energy,46793
 Ben Sasse (R) ,Energy,15000
 Bernie Sanders (I) ,Energy,10
 Bill Cassidy (R) ,Energy,60500
 Bill Nelson (D) ,Energy,48675
 Bob Casey (D) ,Energy,76651
 Bob Corker (R) ,Energy,39500
 Brian Schatz (D) ,Energy,13000
 Catherine Cortez Masto (D) ,Energy,10500
 Charles E Schumer (D) ,Energy,-1000
 Chris Coons (D) ,Energy,2500
 Chris Van Hollen (D) ,Energy,0
 Christopher S Murphy (D) ,Energy,49110
 Chuck Grassley (R) ,Energy,27000
 Cindy Hyde-Smith (R) ,Energy,70000
 Claire McCaskill (D) ,Energy,72500
 Cory Booker (D) ,Energy,6500
 Cory Gardner (R) ,Energy,79000
 Dan Sullivan (R) ,Energy,45900
 David Perdue (R) ,Energy,17500
 Dean Heller (R) ,Energy,384837
 Deb Fischer (R) ,Energy,138500
 Debbie Stabenow (D) ,Energy,146543
 Dianne Feinstein (D) ,Energy,48400
 Dick Durbin (D) ,Energy,2750
 Doug Jones (D) ,Energy,27999
 Ed Markey (D) ,Energy,10000
 Elizabeth Warren (D) ,Energy,6031
 Gary Peters (D) ,Energy,11000
 Heidi Heitkamp (D) ,Energy,250050
 Jack Reed (D) ,Energy,5000
 James E Risch (R) ,Energy,-1000
 James Lankford (R) ,Energy,38000
 James M Inhofe (R) ,Energy,64189
 Jeanne Shaheen (D) ,Energy,13750
 Jeff Flake (R) ,Energy,155550
 Jeff Merkley (D) ,Energy,9500
 Jerry Moran (R) ,Energy,11500
 Joe Donnelly (D) ,Energy,120750
 Joe Manchin (D) ,Energy,525158
 John A Barrasso (R) ,Energy,450400
 John Boozman (R) ,Energy,0
 John Cornyn (R) ,Energy,69900
 John Hoeven (R) ,Energy,29750
 John Kennedy (R) ,Energy,36500
 John Thune (R) ,Energy,50200
 Johnny Isakson (R) ,Energy,500
 Jon Tester (D) ,Energy,51532
 Joni Ernst (R) ,Energy,34500
 Kamala D Harris (D) ,Energy,5000
 Kirsten Gillibrand (D) ,Energy,21510
 Lamar Alexander (R) ,Energy,5000
 Lindsey Graham (R) ,Energy,28000
 Lisa Murkowski (R) ,Energy,130450
 Maggie Hassan (D) ,Energy,500
 Marco Rubio (R) ,Energy,28500
 Maria Cantwell (D) ,Energy,-990
 Mark Warner (D) ,Energy,41500
 Martin Heinrich (D) ,Energy,152630
 Mazie K Hirono (D) ,Energy,39209
 Michael F Bennet (D) ,Energy,7500
 Mike Crapo (R) ,Energy,23500
 Mike Enzi (R) ,Energy,5000
 Mike Lee (R) ,Energy,3000
 Mike Rounds (R) ,Energy,19500
 Mitch McConnell (R) ,Energy,38500
 Orrin G Hatch (R) ,Energy,139500
 Pat Roberts (R) ,Energy,20000
 Pat Toomey (R) ,Energy,44500
 Patrick Leahy (D) ,Energy,5000
 Patty Murray (D) ,Energy,9900
 Rand Paul (R) ,Energy,3500
 Richard Blumenthal (D) ,Energy,500
 Richard Burr (R) ,Energy,-500
 Richard C Shelby (R) ,Energy,0
 Rob Portman (R) ,Energy,63500
 Robert Menendez (D) ,Energy,34895
 Roger Wicker (R) ,Energy,174200
 Ron Johnson (R) ,Energy,8500
 Ron Wyden (D) ,Energy,16500
 Sheldon Whitehouse (D) ,Energy,57751
 Shelley Moore Capito (R) ,Energy,20000
 Sherrod Brown (D) ,Energy,84953
 Steven Daines (R) ,Energy,32000
 Susan Collins (R) ,Energy,5500
 Tammy Baldwin (D) ,Energy,66467
 Tammy Duckworth (D) ,Energy,8000
 Ted Cruz (R) ,Energy,91500
 Thom Tillis (R) ,Energy,33500
 Tim Kaine (D) ,Energy,87419
 Tim Scott (R) ,Energy,49200
 Tina Smith (D) ,Energy,44531
 Todd Young (R) ,Energy,11000
 Tom Carper (D) ,Energy,130000
 Tom Cotton (R) ,Energy,14500
 Tom Udall (D) ,Energy,8500
 Amy Klobuchar (D) ,Finance,153900
 Angus King (I) ,Finance,176000
 Ben Cardin (D) ,Finance,239000
 Ben Sasse (R) ,Finance,127422
 Bernie Sanders (I) ,Finance,0
 Bill Cassidy (R) ,Finance,80500
 Bill Nelson (D) ,Finance,232000
 Bob Casey (D) ,Finance,276584
 Bob Corker (R) ,Finance,130200
 Brian Schatz (D) ,Finance,39500
 Catherine Cortez Masto (D) ,Finance,23500
 Charles E Schumer (D) ,Finance,16000
 Chris Coons (D) ,Finance,42500
 Chris Van Hollen (D) ,Finance,6010
 Christopher S Murphy (D) ,Finance,279500
 Chuck Grassley (R) ,Finance,30250
 Cindy Hyde-Smith (R) ,Finance,106089
 Claire McCaskill (D) ,Finance,369600
 Cory Booker (D) ,Finance,40500
 Cory Gardner (R) ,Finance,63000
 Dan Sullivan (R) ,Finance,10500
 David Perdue (R) ,Finance,128250
 Dean Heller (R) ,Finance,748650
 Deb Fischer (R) ,Finance,220630
 Debbie Stabenow (D) ,Finance,387500
 Dianne Feinstein (D) ,Finance,132900
 Dick Durbin (D) ,Finance,26500
 Doug Jones (D) ,Finance,126000
 Ed Markey (D) ,Finance,20000
 Elizabeth Warren (D) ,Finance,0
 Gary Peters (D) ,Finance,172700
 Heidi Heitkamp (D) ,Finance,593490
 Jack Reed (D) ,Finance,11000
 James E Risch (R) ,Finance,22500
 James Lankford (R) ,Finance,50200
 James M Inhofe (R) ,Finance,16500
 Jeanne Shaheen (D) ,Finance,14500
 Jeff Flake (R) ,Finance,145200
 Jeff Merkley (D) ,Finance,12000
 Jerry Moran (R) ,Finance,30500
 Joe Donnelly (D) ,Finance,500890
 Joe Manchin (D) ,Finance,328288
 John A Barrasso (R) ,Finance,316500
 John Boozman (R) ,Finance,23500
 John Cornyn (R) ,Finance,143200
 John Hoeven (R) ,Finance,11000
 John Kennedy (R) ,Finance,87200
 John Thune (R) ,Finance,82000
 Johnny Isakson (R) ,Finance,45000
 Jon Tester (D) ,Finance,568910
 Joni Ernst (R) ,Finance,42500
 Kamala D Harris (D) ,Finance,3475
 Kirsten Gillibrand (D) ,Finance,130200
 Lamar Alexander (R) ,Finance,29500
 Lindsey Graham (R) ,Finance,53500
 Lisa Murkowski (R) ,Finance,17000
 Maggie Hassan (D) ,Finance,5000
 Marco Rubio (R) ,Finance,40500
 Maria Cantwell (D) ,Finance,347
 Mark Warner (D) ,Finance,229000
 Martin Heinrich (D) ,Finance,182990
 Mazie K Hirono (D) ,Finance,63800
 Michael F Bennet (D) ,Finance,8500
 Mike Crapo (R) ,Finance,503700
 Mike Enzi (R) ,Finance,5500
 Mike Lee (R) ,Finance,4500
 Mike Rounds (R) ,Finance,117000
 Mitch McConnell (R) ,Finance,207000
 Orrin G Hatch (R) ,Finance,262550
 Pat Roberts (R) ,Finance,65000
 Pat Toomey (R) ,Finance,252000
 Patrick Leahy (D) ,Finance,8000
 Patty Murray (D) ,Finance,58500
 Rand Paul (R) ,Finance,7500
 Richard Blumenthal (D) ,Finance,4500
 Richard Burr (R) ,Finance,13000
 Richard C Shelby (R) ,Finance,-6500
 Rob Portman (R) ,Finance,140000
 Robert Menendez (D) ,Finance,169500
 Roger Wicker (R) ,Finance,186161
 Ron Johnson (R) ,Finance,55000
 Ron Wyden (D) ,Finance,52000
 Sheldon Whitehouse (D) ,Finance,55000
 Shelley Moore Capito (R) ,Finance,72500
 Sherrod Brown (D) ,Finance,426500
 Steven Daines (R) ,Finance,39000
 Susan Collins (R) ,Finance,74500
 Tammy Baldwin (D) ,Finance,93900
 Tammy Duckworth (D) ,Finance,21000
 Ted Cruz (R) ,Finance,60500
 Thom Tillis (R) ,Finance,254650
 Tim Kaine (D) ,Finance,238300
 Tim Scott (R) ,Finance,219200
 Tina Smith (D) ,Finance,95500
 Todd Young (R) ,Finance,43500
 Tom Carper (D) ,Finance,374350
 Tom Cotton (R) ,Finance,103200
 Tom Udall (D) ,Finance,3500
 Amy Klobuchar (D) ,General,120000
 Angus King (I) ,General,55000
 Ben Cardin (D) ,General,63750
 Ben Sasse (R) ,General,15500
 Bernie Sanders (I) ,General,0
 Bill Cassidy (R) ,General,35200
 Bill Nelson (D) ,General,487900
 Bob Casey (D) ,General,151346
 Bob Corker (R) ,General,29000
 Brian Schatz (D) ,General,14500
 Catherine Cortez Masto (D) ,General,11000
 Charles E Schumer (D) ,General,12500
 Chris Coons (D) ,General,7000
 Chris Van Hollen (D) ,General,0
 Christopher S Murphy (D) ,General,31321
 Chuck Grassley (R) ,General,9500
 Cindy Hyde-Smith (R) ,General,718500
 Claire McCaskill (D) ,General,103500
 Cory Booker (D) ,General,6250
 Cory Gardner (R) ,General,72250
 Dan Sullivan (R) ,General,5700
 David Perdue (R) ,General,57000
 Dean Heller (R) ,General,234500
 Deb Fischer (R) ,General,157340
 Debbie Stabenow (D) ,General,186000
 Dianne Feinstein (D) ,General,97200
 Dick Durbin (D) ,General,11000
 Doug Jones (D) ,General,21000
 Ed Markey (D) ,General,3700
 Elizabeth Warren (D) ,General,17500
 Gary Peters (D) ,General,18557
 Heidi Heitkamp (D) ,General,150250
 Jack Reed (D) ,General,0
 James E Risch (R) ,General,4821
 James Lankford (R) ,General,11500
 James M Inhofe (R) ,General,0
 Jeanne Shaheen (D) ,General,6500
 Jeff Flake (R) ,General,90750
 Jeff Merkley (D) ,General,0
 Jerry Moran (R) ,General,14500
 Joe Donnelly (D) ,General,104200
 Joe Manchin (D) ,General,74000
 John A Barrasso (R) ,General,135500
 John Boozman (R) ,General,10500
 John Cornyn (R) ,General,55000
 John Hoeven (R) ,General,9000
 John Kennedy (R) ,General,10700
 John Thune (R) ,General,43000
 Johnny Isakson (R) ,General,19000
 Jon Tester (D) ,General,111850
 Joni Ernst (R) ,General,10500
 Kamala D Harris (D) ,General,6480
 Kirsten Gillibrand (D) ,General,55400
 Lamar Alexander (R) ,General,9500
 Lindsey Graham (R) ,General,22500
 Lisa Murkowski (R) ,General,19000
 Maggie Hassan (D) ,General,2556
 Marco Rubio (R) ,General,23500
 Maria Cantwell (D) ,General,12500
 Mark Warner (D) ,General,18000
 Martin Heinrich (D) ,General,73700
 Mazie K Hirono (D) ,General,68500
 Michael F Bennet (D) ,General,5500
 Mike Crapo (R) ,General,24148
 Mike Enzi (R) ,General,7000
 Mike Lee (R) ,General,19000
 Mike Rounds (R) ,General,5500
 Mitch McConnell (R) ,General,71000
 Orrin G Hatch (R) ,General,149200
 Pat Roberts (R) ,General,58500
 Pat Toomey (R) ,General,33000
 Patrick Leahy (D) ,General,5000
 Patty Murray (D) ,General,6000
 Rand Paul (R) ,General,9100
 Richard Blumenthal (D) ,General,1000
 Richard Burr (R) ,General,7000
 Richard C Shelby (R) ,General,5000
 Rob Portman (R) ,General,35150
 Robert Menendez (D) ,General,38500
 Roger Wicker (R) ,General,95900
 Ron Johnson (R) ,General,33000
 Ron Wyden (D) ,General,39500
 Sheldon Whitehouse (D) ,General,50500
 Shelley Moore Capito (R) ,General,19500
 Sherrod Brown (D) ,General,159000
 Steven Daines (R) ,General,19696
 Susan Collins (R) ,General,13500
 Tammy Baldwin (D) ,General,52500
 Tammy Duckworth (D) ,General,12500
 Ted Cruz (R) ,General,82000
 Thom Tillis (R) ,General,54250
 Tim Kaine (D) ,General,88855
 Tim Scott (R) ,General,32750
 Tina Smith (D) ,General,57950
 Todd Young (R) ,General,17500
 Tom Carper (D) ,General,70500
 Tom Cotton (R) ,General,23500
 Tom Udall (D) ,General,5000
 Amy Klobuchar (D) ,Health,78650
 Angus King (I) ,Health,61500
 Ben Cardin (D) ,Health,218000
 Ben Sasse (R) ,Health,31500
 Bernie Sanders (I) ,Health,2500
